AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 13022(2),11,,,Raghunathan,Sudha Raghunathan ,"The Michigan Tamil Sangam, MI (1 of 3)",y,"Michigan, 9/15/1996",KKV
AWM SC 13022(3),11,,,Raghunathan,Sudha Raghunathan ,"The Michigan Tamil Sangam, MI (1 of 3)",y,"Michigan, 9/15/1996",KKV
AWM SC 13023(1),11,,,Raghunathan,Sudha Ragunathan,MSU Center (1 of 3),,"Detroit, 9/15/1996",
AWM SC 13023(2),11,,,Raghunathan,Sudha Ragunathan,Detroit Concert (2  of 3),,"Detroit, 9/15/1996",
AWM SC 13023(3),11,,,Raghunathan,Sudha Ragunathan,Detroit Concert (3 of 3),,"Detroit, 9/15/1996",
AWM SC 13024(1),11,,,Raghunathan,Sudita Raganathan - CD (1 /2),Classical Encounters. Heritage of India Kala Utshi Concert. Live at Nehru Centre - Mumbai. Side A. Year Naapai - Todi -- Saranam Siddhi Vinayaka - Saurashtram -- Yela Nee Dhayaradity -- Atana -- Akhilandeshwari - Dwijavanti. Side B. Thillarra -- Sogasuga Mridanga - Sriranjani -- Aanayle Karadare -- Ragamalika. ,y,Mumbai,KKV
AWM SC 13024(2),11,,,Raghunathan,Sudita Raganathan - CD (2 /2),Classical Encounters. Heritage of India Kala Utshi Concert. Live at Nehru Centre - Mumbai. ,y,Mumbai,KKV
AWM SC 13025,11,,,Raghunathan,"Purandara Dasar Krithis, Sudha Raghunathan",,y,,KKV
AWM SC 13026,11,,,Raghunathan,Sudita Ragunathan (Vocal),Annamayya Krithis - From CD,y,,KKV
AWM SC 13027,11,,,Raghunathan,Sudha Raghunathan,Andal thrupavai ,,,KKV
AWM SC 13028,11,,,Raghunathan,Sudha Raghunathan,Samarpawam. Dedication to H.H. Paramaeharya on his 99th birthday,y,,
AWM SC 13029,11,,,Raghunathan,Sudha Raghunathan,Enticing and Enthralling Melodies,y,,KKV
AWM SC 13030,11,,,Raghunathan,Sudha Raghunathan,Oothukadu Venkatasubbaiyar songs,y,,KKV
AWM SC 13031,11,,,Raghunathan,"Sudha Raghunathan (Genikuh's), K. Sivaranam, Mamwajudi Gwrugvan",,y,,KKV
AWM SC 13032,11,,,Raghunathan,Sudha Raghunathan (Vocal),,y,,KKV
AWM SC 13033,11,,,Raghunathan,"Sudha Raghunathan, K. Sivaraman, Thiruvarur Vaidyanathan, S. Karthick",San Marga - Tamil devotional songs,y,,KKV
AWM SC 13034,11,,,Raghunathan,"Sudha Raghunathan, V.V. Ravi,  T. Vaidyanathan,  S. Karthick",,y,,KKV
AWM SC 13035,11,,,Raghunathan,Sudha Ragunathan,Dikshitar Masterpieces (Vol 3),,,KKV
AWM SC 13036,11,,,Raghunathan,Sudha Ragunathan,Bindu Malini. Tamil songs,,,KKV
AWM SC 13037,11,,,Raghunathan,Sudha Ragunathan,Marriage songs,,,KKV
AWM SC 13038,11,,,Raghunathan,Sudha Ragunathan ,Madityamavati,y,,KKV
AWM SC 13039,11,,,Raghunathan,Sudha Ragunathan ,Ever Green Melodies,y,,
AWM SC 13040,11,,,Raghunathan,"Sudha Ragunathan (AUM Cassette), K. Sivavamam, T. Vaidyanathan,  S. Karthick",,y,,KKV
AWM SC 13041,11,,,Raghunathan,"Sudha Ragunathan (AVM Cassette), K. Sivavamam, T. Vaidyanathan",Side A. Neo Wayarada - Audebka - Adi - GNB -- siddhivirayakam - Mahara kaly ami - ADI - HKM -- Wannnhuvm Lalika (m.chaym) - Labita - S. Sertig -- Freedharaprehai - Slokern - Jarycantanfree - Repoaken - M. Vateauluchar -- Marivera - Lahthangi - K. Chadu - P. Fuherana qyer. ,y,,KKV
AWM SC 13042,11,,,Raghunathan,Sudha Ragunathan (CD),"Kaleeya Krishna (Oothykady), Venkatasubbier songs",y,,KKV
AWM SC 13043,11,,,Raghunathan,"Sudha Ragunathan (Thyawarata Kritis), K. Sivavamam, T. Vaidyanathan,  S. Karthick",Side A. Sobilley - Japan mohmai - Revpakam -- Wagnmoim - Avhavi - ADI -- Rama Ramana - Vayamtua Bhourani - Adi -- Sampeeta Gimememn - Thamyani - Adi. Side B. Paraloka Sadanamo - Pourri.Calyanni - Adi -- Elaneedayaradm - Atara - adi -- Maramleni - Hundrlam - Adi -- Sarwa Saimadawa - Kartri Nawayami -- Rama Drivama - Surah - Revpakum. ,y,,KKV
