AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 12770(1),1,,,Ananthagopalan,"Lalaudi Padmavathi Ananthagopalan, Jayathi Krishnan, Trichur Narendran",Detroit Concert (1 of 2),,3/26/95,KKV
AWM SC 12770(2),1,,,Ananthagopalan,"Lalaudi Padmavathi Ananthagopalan, Jayathi Krishnan, Trichur Narendran",Detroit Concert (2 of 2),,3/26/95,KKV
AWM SC 12771,1,,,Arunachalam,Karukuruchi Arunachalan / K.V. Narayaraswami,Nadhaswaran / Palghat,y,,
AWM SC 12772,1,,,Babu ,Chittibabu ,Veena (From Kalyanamis Record),y,Apr-79,
AWM SC 12773,1,,,Babu ,Chittibabu - Veena (From: Sridhais),Musing of the Musician,,4/15/79,
AWM SC 12774,1,,,Babu ,Chitti Babu,Chitti Babu presents Musings of a Musician,y,,
AWM SC 12775,1,,,Babu ,Chittibabu,Veena,y,,HV
Missing,,,,Bala Murali,Bala Murali / Dr. Semmanorudi Srinivasa Iyer,Kamalamba Navavarna Krithis (Vol I) ,y,,HV
Missing,,,,Bala Murali,Bala Murali / Dr. Semmanorudi Srinivasa Iyer,Kamalamba Navavarna Krithis (Vol II),y,,HV
AWM SC 12776,1,,,Bala Murali,Bala Murali / Dr. Semmanorudi Srinivasa Iyer,Kamalamba Navavarna Krithis (Vol III) ,y,,HV
AWM SC 12777,1,,,Balakrishnan,Mr. Balakrishnan,Religious Discourse,,"Venkat residence, 4/9/1995",
AWM SC 12778(1),1,,,Balamuralikrishna ,"M. Balamurali Krishna, M.S. Gopalakrishnan, T.V. Gopalkrishnan",(1 of 2),,Mar-91,KKV
AWM SC 12778(2),1,,,Balamuralikrishna ,"M. Balamurali Krishna, M.S. Gopalakrishnan, T.V. Gopalkrishnan",(2 of 2),,Mar-91,KKV
AWM SC 12779,1,,,Balamuralikrishna,Balamurali Krishna,Thyagaraja / Ramdas Kirtanas,y,,KKV
AWM SC 12780,1,,,Balamuralikrishna,Balamurali Krishna / V. Ramachandran & Yesudas,,y,,
AWM SC 12781(1),1,,,Balamuralikrishna,Balmurali Krishna,Detroit Concert (1 and 2),,,KKV
AWM SC 12781(2),1,,,Balamuralikrishna,"Balmurali Krishna, Vishnu Sahasranaman",Detroit Concert (2 and 2),,,KKV
AWM SC 12782,1,6 ECDB 517,,Balamuralikrishna ,Dr. M. Balamuralikrishna,Shanmukhapriya,y,,
AWM SC 12783,1,,,Balamuralikrishna ,"M. Balamurali, B.G.N.B.",Utsava Sampradaya Krithis of saint thiagaraja,,,
AWM SC 12784,1,,,Balamuralikrishna ,M. Balamuralikrishna,Krithis in Shawmukhapriya,y,,
AWM SC 12785,1,,,Balasubrananiam,G.N. Balasubrananiam,,,,
AWM SC 12786,1,,,Balasubrananiam,G.N. Balasubrananiam,(1 of 1),,,KKV
AWM SC 12787,1,,,Balasubrananiam,G.N. Balasubrananiam,Best of GNB,,,KKV
AWM SC 12788,1,,,Balasubrananiam,G.N. Balasubrananiam,Sangeetha kalanidhi,,,KKV
AWM SC 12789,1,,,Balasubrananiam,"GNB, Chowdiah, Murugabhoobathi, Kothandarama Iyer",Air,,,KKV
AWM SC 12790(1),1,,,Balasubrananiam,GNB/Chowdiah/PMI,(1 of 3),,,
AWM SC 12790(2),1,,,Balasubrananiam,GNB/Chowdiah/PMI,(2 of 3),,,
AWM SC 12790(3),1,,,Balasubrananiam,GNB/Chowdiah/PMI,(3 of 3),,,
AWM SC 12791,1,,,Bharathi,"Rajkumar Bharathi, M.A. Sundaresan, T.V. Gopalakrishnan",Sangeetha cassette (1 of 1),y,Dec-93,KKV
AWM SC 12792(1),1,,,Bharathi,Rajkumar Bharathi ,(1 of 2),y,"Detroit, 10/22/1995",KKV
AWM SC 12792(2),1,,,Bharathi,Rajkumar Bharathi ,(2 of 2),y,"Detroit, 10/22/1995",KKV
AWM SC 12793,1,6 ECDB 526,,Bharathi,Rajkumar Bharathi,Parvathi Nayakane & Other Krithis,y,,
AWM SC 12794,1,,,Bharathi,Rajkumar Bharathi,from C.D. (1 of 1),y,,KKV
AWM SC 12795,1,,,Bharathi,Rajkumar Bharathi ,Carnatic classical,y,,KKV
AWM SC 12796,1,,,Bharathi,"Rajkumar Bharathi, Madruai Bala Subramanian, Prapancham Ravindran",Purandaradasa songs,y,,
AWM SC 12797,1,,,Bharathi,"Rajkumar Bharathi, Patnam Subramania Iyer Krithis, M.A. Sundareswaran, Thiryvarur Bhakta Vatsalam",Air concert (1 of 1),y,,
AWM SC 12798,1,,,Bharathi,"Rajkumar Bharati, Mandurai Balasubramanian, Prapancham Ravinoran",Bharatiyar songs,y,,KKV
AWM SC 12799(1),2,,,Bombay ,Bombay Sisters,Detroit Concert (1 of 2),y,"Detroit, 5/14/1989",KKV
AWM SC 12799(2),2,,,Bombay ,Bombay Sisters,Detroit Concert (2 of 2),y,"Detroit, 5/14/1989",KKV
AWM SC 12800,2,,,Bombay ,"Bombay Sisters, A.K. Usha, Trichur Narendran, N. Govindarajan, B.V.V.Ravi",,y,Apr-91,KKV
AWM SC 12801,2,,,Bomaby ,Bombay Sisters,Sangeetha Cassette (1 of 1),y,,KKV
AWM SC 12802,2,6ECD 6256,,Bombay ,Bombay Sisters,"Sree lalitha sahasranama, Stothram & Ashtothram",y,,
AWM SC 12803,2,,,Bombay ,Bombay Sisters,Lalitha Sahasranamam (Part I) / (Part II),y,,KKV
AWM SC 12804,2,,,Bombay ,Bombay Sisters,Original Diuuwwa,y,,
AWM SC 12805,2,,,Bombay ,Bombay Sisters,Papanasam sivan songs,y,,KKV
AWM SC 12806,2,6 CA 566,,Bombay ,Bombay Sisters,Oothukadu Venkata Subbier Songs (Vol. 2),y,,
AWM SC 12807,2,,,Bombay ,"Bombay Sisters, Meera Narayan, Trichur Narendran, N. Govindarajan",Live concert in Madras,y,,KKV
AWM SC 12808,2,,,Bombay ,Lalitha Sahasrawamam / Astothram - Bombay Sisters,,,,
AWM SC 12809(1),2,,Vc001A,Brahmanandam,"Srimathi Brahmanandam, C.P. Viswanath",(1 of 2),y,"Prabhakar's residence, 8/31/1991",KKV
AWM SC 12809(2),2,,Vc001B,Brahmanandam,"Srimathi Brahmanandam, C.P. Viswanath",(2 of 2),y,"Prabhakar's residence, 8/31/1991",KKV
AWM SC 12810,2,,,Bushani,Swara Bushani from Oriental Records CD - 2 Discs,,y,,KKV
AWM SC 12811(1),2,,,Chandrasekhar,M. Chandrasekhar,"Detroit Concert (Paris 1, 2)",,"Detroit, 7/21/1987",H.V.
AWM SC 12811(2),2,,,Chandrasekhar,M. Chandrasekhar,"Detroit Concert (Paris 3, 4)",,"Detroit, 7/21/1987",H.V.
AWM SC 12812,2,,,Chaurasia,Hari Prasad Chaurasia / V.G. JDG,Flute / Violin,y,,
AWM SC 12813,2,,,Ciopalan,Sesha Ciopalan,Tamil Isai concert,,1983,
AWM SC 12814,2,,,Damal Krishnaswamy,"Panciharatna Krithis, D.K. Jayaraman & Disciples, R.K. Shriramkumar, J. Vaidyanathan",,y,Mar-91,KKV
AWM SC 12815,2,,,Desikar,M.M. Dhandapani Desikar ,Nandanar Songs / Other songs,y,,KKV
AWM SC 12816,2,,,Desikar,M.S. Gopalakrishavan,,,,KKV
Missing,,,,Dikshithar,"Dikshithar, Dr. M. Bala Murali",Dikshithar's kamalamba navavarna krithis / Balamurali Krishna (Vol I),y,,HV
AWM SC 12817,2,,,Dikshithar,"Dikshithar, Dr. M. Bala Murali",Dikshithar's kamalamba navavarna krithis / Balamurali Krishna (Vol II),y,,HV
AWM SC 12818,2,,,Dosti ,Dosti,Detriot Style,,,
AWM SC 12819(1),2,,,Ganesh ,Dr. R. Ganesh ,Disciple of Maharatapuram Santhanam (1 of 2),y,Dec-93,KKV
AWM SC 12819(2),2,,,Ganesh ,Dr. R. Ganesh ,Disciple of Maharatapuram Santhanam (2 of 2),y,Dec-93,KKV
AWM SC 12820(1),2,,,Ganesh ,"Ganesh Kumaresh, K.V. Prasad",Detroit concert (1 of 2),,"Detroit, 2/26/1995",KKV
AWM SC 12820(2),2,,,Ganesh ,"Ganesh Kumaresh, K.V. Prasad",Detroit concert (1 of 2),,"Detroit, 2/26/1995",KKV
AWM SC 12821(1),2,,,Ganesh ,Ganesh Kumaresh,Michigan Tamil Sangam concert (1 of 2),y,"Michigan, 6/6/1998",
AWM SC 12821(2),2,,,Ganesh ,Ganesh Kumaresh,Michigan Tamil Sangam concert (2 of 2),y,"Michigan, 6/6/1998",
AWM SC 12822,2,,,Ganesh ,Ganesh / Kumaresh ,Ganesh / Kumaresh - Violin Duet - Prerecorded cassette (1 of 1),,,KKV
AWM SC 12823,2,,,Ganesh,"A. Ganesh / Kumaresh, K.V. Prasad, Waikkom Gopakrishnan, B.G.J.R., Krishnan, Ramesh, Govindarajan ",(1 of 1),y,,KKV
AWM SC 12824(1),2,,,Gangadharan,"Sriram Gangadharan, Kalpana Kishore, Neyveli Narayanan",,y,"LA, 3/28/1998",
AWM SC 12824(2),2,,,Gangadharan,Sriram Gangadharan,2/2,y,"LA, 3/28/1998",
AWM SC 12825,2,IBM 121,,Gangadharah,Bhakthi Gangadharah,Sanskrit Devotional Songs,y,,
AWM SC 12826,2,GCT 578 C-60,,Gangadharan,Sriram Gangadharan,Sriram Gangadharan - Classical vocal,y,,
AWM SC 12827(1),3,,,Gayathri,Baby Gayathri,Veena (1 of 2),,11/9/85,KKV
AWM SC 12827(2),3,,,Gayathri,Baby Gayathri,Veena (2 of 2),,11/9/85,KKV
AWM SC 12828(1),3,,KSG003A,Gopalakrishnan,"K.S. Gopalakrishnan, Karyakumari, G. Dorai",Navaratric Music Festival (1 of 2),,"Bharatiya Temple, 10/16/1993",KKV
AWM SC 12828(2),3,,KSG003A,Gopalakrishnan,"K.S. Gopalakrishnan, Karyakumari, G. Dorai",Navaratric Music Festival (2 of 2),,"Bharatiya Temple, 10/16/1993",KKV
AWM SC 12829,3,,,Gopalakrishnan,K.S. Gopalakrishnan,Selections from 1993 US Tour,y,1993,
AWM SC 12830(1),3,,KGSC001,Gopalakrishnan,"K.S. Gopalakrishnan, A. Kanyakumari Guruvayoor Dorai",(1 of 3),,"Boston, 1993",KKV
AWM SC 12830(2),3,,KGSC001B,Gopalakrishnan,"K.S. Gopalakrishnan, A. Kanyakumari Guruvayoor Dorai",(2 of 3),,"Boston, 1993",KKV
AWM SC 12830(3),3,,KGSC001C,Gopalakrishnan,"K.S. Gopalakrishnan, A. Kanyakumari Guruvayoor Dorai",(3 of 3),,"Boston, 1993",KKV
AWM SC 12831(1),3,,KSGC002A,Gopalakrishnan,K.S. Gopalakrishnan,Detroit Concert (1 of 3),,"Detroit, 10/12/1996",
AWM SC 12831(2),3,,KSGC002B,Gopalakrishnan,K.S. Gopalakrishnan,Detroit Concert (2 of 3),,"Detroit, 10/12/1996",
AWM SC 12831(3),3,,KSGC002C,Gopalakrishnan,K.S. Gopalakrishnan,Detroit Concert (3 of 3),,"Detroit, 10/12/1996",
AWM SC 12832(1),3,,,Gopalakrishnan,K.S. Gopalakrishnan,Michigan Tamil Sangam (1 of 3),y,"MI, 10/12/1996",KKV
AWM SC 12832(2),3,,,Gopalakrishnan,K.S. Gopalakrishnan,Michigan Tamil Sangam (2 of 3),y,"MI, 10/12/1996",KKV
AWM SC 12832(3),3,,,Gopalakrishnan,K.S. Gopalakrishnan,Michigan Tamil Sangam (3 of 3),y,"MI, 10/12/1996",KKV
AWM SC 12833,3,,KSGC004,Gopalakrishnan,K.S. Gopalakrishnan,,y,,
AWM SC 12834(1),3,,,Gopalnath,A. Kadri Gopalnath,Detroit concert (1 of 2),,"Detroit, 5/10/1987",KKV
AWM SC 12834(2),3,,,Gopalnath,A. Kadri Gopalnath,Detroit concert (2 of 2),,"Detroit, 5/10/1987",KKV
AWM SC 12835(1),3,,,Gopalnath,Kadri Gopalnath,Kadri with Kanyakumari and Dorai (1 of 3),y,9/10/95,
AWM SC 12835(2),3,,,Gopalnath,Kadri Gopalnath,Kadri with Kanyakumari and Dorai (2 of 3),y,9/10/95,
AWM SC 12835(3),3,,,Gopalnath,Kadri Gopalnath,Kadri with Kanyakumari and Dorai (3 of 3),y,9/10/95,
AWM SC 12836,3,,,Gopalnath,Kadri Gopalnath,Saxophone,y,,KKV
AWM SC 12837,3,,,Gopalnath,Kadri Gopalnath,Saxophone Thrills - CD,y,,KKV
AWM SC 12838,3,,,Gopalnath,Kadri Gopalnath,Film tunes,y,,KKV
AWM SC 12839,3,,,Gopalnath,Kadri Gopalnath,Sax thrills,,,KKV
AWM SC 12840,3,,,Gopalnath,Kadri Gopalnath,Saxophone pre-recorded cassette,y,,KKV
AWM SC 12841,3,,,Gopalnath,Kadri Gopalnath,Utsava Sampradaya Kritis,,,
AWM SC 12842,3,,,Gopalnath,Kadri Gopalnath,Dakti Vani,,,
AWM SC 12843,3,,,Gopalnath,Kadri Gopalnath,Saxophone,y,,HV
AWM SC 12844,3,,,Gopalnath,"Kadri Gopalnath, A. Kanyakumari, Srimushanam Rajarao, Palghat Sundaram",AUM cassette,y,,KKV
AWM SC 12845,3,,,Gopalnath,"Kadri Gopalnath, S.P. Raju, Krishnamoorthy Pillai","Saxophone, Pillai, Tamil",y,,KKV
AWM SC 12846,3,,,Gopalnath ,"Sri. Kadri Gopalnath, Sri. Mysore M. Manjunath, Sri Haridwaramangalam, A.K. Palanivel, Sri. T.H. Vikku Vinayakram, Sri. B. Rajashekar","Unlabeled Tape (Gold Nest Deposit Schemes, Cholamandalam)",,,
AWM SC 12847,3,,,Haridas,"Swami Haridas, Chittibabu",Bhajan Songs by Swami Haridas + Chittibabu Veena / Chittibabu Veena Concert,y,"Waldorf Astoria - NY, 1966",
AWM SC 12848,3,,,Hyderabad,"Hyberdad brothers, Vital Ramamurthy, Coimbatore G. Prakash",,y,5/25/90,KKV
AWM SC 12849(1),3,,,Hyderabad,"Hyderbad brothers, D. Seshachry, Raghavachary, P. Sree Ramamurthy, Pallhat Raghy, Umayalpurarm K. N'swamy","Hyderbad brothers at the Music Academy, Madras 1992 (1 of 2)",y,"Madras, 1992",KKV
AWM SC 12849(2),3,,,Hyderabad,"Hyderbad brothers, D. Seshachry, Raghavachary, P. Sree Ramamurthy, Pallhat Raghy, Umayalpurarm K. N'swamy","Hyderbad brothers at the Music Academy, Madras 1992 (2 of 2)",y,"Madras, 1992",KKV
AWM SC 12850,3,,,Hyderabad,Hyderabad brothers,Dikshithar masterpieces,,May-93,KKV
AWM SC 12851(1),4,,,Hyderabad,Hyderbad brothers,Pre-recorded concert (1 of 3),y,May-93,KKV
AWM SC 12851(2),4,,,Hyderabad,Hyderbad brothers,Pre-recorded concert (2 of 3),y,May-93,KKV
AWM SC 12851(3),4,,,Hyderabad,Hyderbad brothers,Pre-recorded concert (3 of 3),y,May-93,KKV
AWM SC 12852(1),4,,,Hyderabad,Hydrabad brothers,Detroit Thyagaraja Festival (1 of 2),y,"Flint, MI. 5/22/1993",KKV
AWM SC 12852(2),4,,,Hyderabad,Hydrabad brothers,Detroit Thyagaraja Festival (2 of 2),y,"Flint, MI. 5/22/1993",KKV
AWM SC 12853(1),4,,,Hyderabad,"Hyderabad brothers, Nagai Muraliditaran, Vellore Ramabhadran ",(1 of 2),y,"Chicago, 1995",KKV
AWM SC 12853(2),4,,,Hyderabad,"Hyderabad brothers, Nagai Muraliditaran, Vellore Ramabhadran ",(2 of 2),y,"Chicago, 1995",KKV
AWM SC 12854(1),4,,,Hyderabad,"Hyderabad brothers, Nagai Muraliditaran, Vellore Ramabhadran, Cleveland Baly",(1 of 3),,"Detroit, 6/3/1995",KKV
AWM SC 12854(2),4,,,Hyderabad,"Hyderabad brothers, Nagai Muraliditaran, Vellore Ramabhadran, Cleveland Baly",(2 of 3),,"Detroit, 6/3/1995",KKV
AWM SC 12854(3),4,,,Hyderabad,"Hyderabad brothers, Nagai Muraliditaran, Vellore Ramabhadran, Cleveland Baly",(3 of 3),,"Detroit, 6/3/1995",KKV
AWM SC 12855,4,,,Hyderabad,Hyderabad brothers,Annamacharya Kirthanas,,,KKV
AWM SC 12856,4,,,Hyderabad,Hyderabad brothers,,y,,KKV
AWM SC 12857(1),4,,,Hyderabad,Hyderabad Sisters,Hyderabad Sisters Concert (1 of 3),,"Flint, MI. 5/17/1997",KKV
AWM SC 12857(2),4,,,Hyderabad,Hyderabad Sisters,Hyderabad Sisters Concert (2 of 3),,"Flint, MI. 5/17/1997",KKV
AWM SC 12857(3),4,,,Hyderabad,Hyderabad Sisters,Hyderabad Sisters Concert (3 of 3),,"Flint, MI. 5/17/1997",KKV
AWM SC 12858(1),4,,,Hyderabad,Hyderabad Sisters ,Master tape (1 of 3),,,
AWM SC 12858(2),4,,,Hyderabad,Hyderabad Sisters ,Master tape (2 of 3),,,
AWM SC 12858(3),4,,,Hyderabad,Hyderabad Sisters ,Master tape (3 of 3),,,
AWM SC 12859,4,,,Iyengar,Ariyakudi Ramanuja Iyengar,,y,Mar-91,KKV
AWM SC 12860,4,,,Iyengar,Ariyakudi Ramanuja Iyengar,Purandaradasa Krithis,y,,KKV
AWM SC 12861,4,,,Iyer,"Alathur Srinivasa Iyer, L. Subramanian , Palghat T.S. Mani Iyer","Vocal, Violin, Mridangam",y,,KKV
AWM SC 12862(1),4,,,Iyer,Madurai Mani Iyer,Tamil Isai Sangam - 1966 (1 of 3),y,1966,KKV
AWM SC 12862(2),4,,,Iyer,Madurai Mani Iyer,Tamil Isai Sangam - 1966 (2 of 3),y,1966,KKV
AWM SC 12862(3),4,,,Iyer,Madurai Mani Iyer,Tamil Isai Sangam - 1966 (3 of 3),y,1966,KKV
AWM SC 12863(1),4,,,Iyer,Madurai Mani Iyer,The best of Madurai Mani Iyer (1 of 2),y,,H.V.
AWM SC 12863(2),4,,,Iyer,Madurai Mani Iyer,The best of Madurai Mani Iyer (2 of 2),y,,H.V.
AWM SC 12864(1),4,,,Iyer,Madurai Mani Iyer,Madurai Mani Iyer - Live (1 of 3),y,,KKV
AWM SC 12864(2),4,,,Iyer,Madurai Mani Iyer,Madurai Mani Iyer - Live (2 of 3),y,,KKV
AWM SC 12864(3),4,,,Iyer,Madurai Mani Iyer,Madurai Mani Iyer - Live (3 of 3),y,,KKV
AWM SC 12865,4,,,Iyer,Madurai Mani Iyer (Preferred Cassette),,,,KKV
AWM SC 12866,4,,,Iyer,Semmangudi & MSS,MSS on the Veena,y,"Ralki's Home, 1974",
AWM SC 12867,4,,,Iyer,Semnangudi Srinivasa Ayar,Air,,3/23/74,
AWM SC 12868(1),4,,,Iyer,Semmangudi Srinivasa Iyer,Music Academy (1 of 2),y,"Madras, 12/31/1989",KKV
AWM SC 12868(2),4,,,Iyer,Semmangudi Srinivasa Iyer,Music Academy (2 of 2),y,"Madras, 12/31/1989",KKV
AWM SC 12869(1),4,,,Iyer,"Semmangudi Srinivasa Iyer, T.N. Krishnan, Palani Subramania Pillai ",(1 of 2),y,May-91,KKV
AWM SC 12869(2),4,,,Iyer,"Semmangudi Srinivasa Iyer, T.N. Krishnan, Palani Subramania Pillai ",(2 of 2),y,May-91,KKV
AWM SC 12870,5,,,Iyer,"Semmanghdi Srinivasa Iyer, Dr. Subramanian, Guruvayoor Dorai, V.R. Krishnan",,y,,
AWM SC 12871,5,,,Iyer,Semmangudi,House concert,,,
AWM SC 12872,5,,,Iyer,"Semmangudi , OM Saravana Bhava","Semmangudi over the decades last 2 songs, Murygan devotional songs",,,KKV
AWM SC 12873,5,,,Iyer,Semmangudi Srinivaja Iyer / D.K. Jayaraman,,y,,H.V.
AWM SC 12874(1),5,,,Iyer,Semmangudi Srinivasa Iyer,(1 of 2),,,HV
AWM SC 12874(2),5,,,Iyer,Semmangudi Srinivasa Iyer,(2 of 2),,,HV
AWM SC 12875(1),5,,,Iyer,Semmangudi Srinivasa Iyer,(1 of 2),y,,KKV
AWM SC 12875(2),5,,,Iyer,Semmangudi Srinivasa Iyer,(2 of 2),y,,KKV
AWM SC 12876(1),5,,,Iyer,"Semmangudi Srinivasa Iyer, T.N. Krishnan, V. Ramabhadran, Vilvadri Iyer",(1 of 3),y,,KKV
AWM SC 12876(2),5,,,Iyer,"Semmangudi Srinivasa Iyer, T.N. Krishnan, V. Ramabhadran, Vilvadri Iyer",(2 of 3),y,,KKV
AWM SC 12876(3),5,,,Iyer,"Semmangudi Srinivasa Iyer, T.N. Krishnan, V. Ramabhadran, Vilvadri Iyer",(3 of 3),y,,KKV
AWM SC 12877,5,,,Iyer,Semmangudi Srinivasaiyer Golden Jubilee Trust,Semmangudi over the decades - Excerpts from live concerts,y,,KKV
AWM SC 12878,5,,,Iyer,Semnangudi,,,,
AWM SC 12879(1),5,,,Jayaraman ,"D.K. Jayaraman, Chandrasekar, T. Sankaran",(1 of 2),y,"Madras, 1982",
AWM SC 12879(2),5,,,Jayaraman ,"D.K. Jayaraman, Chandrasekar, T. Sankaran",(2 of 2),y,"Madras, 1982",
AWM SC 12880(1),5,,,Jayaraman ,Sri D.K. Jayaraman,(1 of 2),,"Detroit, 6/20/1986",
AWM SC 12880(2),5,,,Jayaraman ,Sri D.K. Jayaraman,(2 of 2),,"Detroit, 6/20/1986",
AWM SC 12881(1),5,,,Jayaraman ,"D.K. Jayaraman, T. Rukmini, J. Vaidyanathan",Rutgers University (1 of 2),y,"NJ, 7/19/1986",KKV
AWM SC 12881(2),5,,,Jayaraman ,"D.K. Jayaraman, T. Rukmini, J. Vaidyanathan",Rutgers University (2 of 2),y,"NJ, 7/19/1986",KKV
AWM SC 12882,5,,,Jayaraman ,"D.K. Jayaraman, Sri Rankumar, D.J. Vaidyanathan",Balaji,y,3/24/90,
AWM SC 12883(1),5,,,Jayaraman ,"D.K. Jayaraman, M.S. Gopalakushnan, T.K. Murthy, G. Harishankar",Live at the Music Academy (1 of 2),y,Mar-91,KKV
AWM SC 12883(2),5,,,Jayaraman ,"D.K. Jayaraman, M.S. Gopalakushnan, T.K. Murthy, G. Harishankar",Live at the Music Academy (2 of 2),y,Mar-91,KKV
AWM SC 12884(1),5,,,Jayaraman ,"D.K. Jayaraman, T. Rukmini, U. Sivaraman",Papanasam Sivan songs (1 of 2),y,May-92,KKV
AWM SC 12884(2),5,,,Jayaraman ,"D.K. Jayaraman, T. Rukmini, U. Sivaraman",Papanasam Sivan songs (2 of 2),y,May-92,KKV
AWM SC 12885,5,,,Jayaraman ,"D.K. Jayaraman, T. Ruymini, U. Sivaraman",P. Sivan day demonstration,,May-92,KKV
AWM SC 12886(1),5,,,Jayaraman ,D.K. Jayaraman,(1 of 2),,Jun-93,KKV
AWM SC 12886(2),5,,,Jayaraman ,D.K. Jayaraman,(2 of 2),,Jun-93,KKV
AWM SC 12887,5,,,Jayaraman ,"D.K. Jayaraman, Kanyakumar, Vaidyanathan, EMS","Sukanya, Balaji",y,Apr-94,KKV
AWM SC 12888,5,,,Jayaraman ,D.K. Jayaraman,,y,,KKV
AWM SC 12889,5,,,Jayaraman ,"D.K. Jayaraman, Shankar Ram, Balaji Shankar, A. Kanyakumari, J. Vaidyanathan, E.M. Subramanyam",,y,,KKV
AWM SC 12890(1),5,,,Jayaraman ,"D.K. Jayaraman, V.V. Subramaniam, Umayalpuram Sivaraman",(1 of 2),y,,KKV
AWM SC 12890(2),5,,,Jayaraman ,"D.K. Jayaraman, V.V. Subramaniam, Umayalpuram Sivaraman",(2 of 2),y,,KKV
AWM SC 12891,5,,,Jayashri,Bombay Jaisuree,,y,Sep-93,KKV
AWM SC 12892,5,,,Jayashri,Bombay Jayshri,Popular Devi Krithis,y,Dec-93,KKV
AWM SC 12893,5,,,Jayashri,Bombay Jaysuree (Vocal),Listerner's choice,y,Dec-93,KKV
AWM SC 12894,5,,,Jayashri,"Vittal Ramamurthy, Neyveli R. Nartyavarv, A.S. Shankar",Bombay Jayashri - Vocal,y,Dec-93,KKV
AWM SC 12895(1),6,,,Jayashri,Bombay Jayashree ,Bombay Jayashree Concert (1 of 2),,4/27/97,
AWM SC 12895(2),6,,,Jayashri,Bombay Jayashree ,Bombay Jayashree Concert (2 of 2),,4/27/97,
AWM SC 12896,6,,,Jayashri,"Bombay Jayashree, Usha Raghavan, K.V. Prasad",Madras Station Broadcast,y,,KKV
AWM SC 12897,6,,,Jayashri,"Bombay Jayashree, Usha Raghavan, K.V. Prasad, E.M. Subramanyam ",,y,,KKV
AWM SC 12898,6,,,Jayashri,"Bombay Jaysuree (Vocal), Embar Kannan, T. Vaidyanathan,  S. Karthick",,y,,
AWM SC 12899,6,,,Jayashri,"Bombay Jaysuree (Vocal), Vittal Ramamarthy, J. Vaidyanathan",,y,,KKV
AWM SC 12900,6,,,Jayashri,Bombay Joyshree (Vocal),,y,,KKV
AWM SC 12901,6,,,Jayashri,"Vittal Ramamurthy, T. Vaidyanathan,  S. Karthick",Bombay Jayashri (Vocal) CD,y,,KKV
AWM SC 12902,6,,,Kalyana Padalgal,Kalyana Padalgal,Marriage songs,,,
AWM SC 12903,6,7,,Kanyakumari,A. Kanyakumari,Classical Carnatic Music,y,,
AWM SC 12904,6,,,Kanyakumari,"A. Kanyakumari , Ramnad Raghavan ",,y,,KKV
AWM SC 12905,6,6ECDB507,,Krishna,Sri Krishna,Bhajans ,,,
AWM SC 12906(1),6,,,Krishna,TM Krishna ,Vol 1,,,
AWM SC 12906(2),6,,,Krishna,TM Krishna ,Vol 2,,,
AWM SC 12907,6,6ECDB607,,Krishnamurthi,Anuradha Suresh Krishnamurthi,Raga Anuragam,y,,
AWM SC 12908(1),6,,,Krishnan,T.N. Krishnan,"Prof. T.N. Krishnan, Sica Concert (1 of 2)",,"Los Angeles, 12/4/1988",KKV
AWM SC 12908(2),6,,,Krishnan,T.N. Krishnan,"Prof. T.N. Krishnan, Sica Concert (2 of 2)",,"Los Angeles, 12/4/1988",KKV
AWM SC 12909(1),6,,,Krishnan,T. N. Krishnan,Live in Concert (1 of 2),,"Los Angeles, 9/30/1989",
AWM SC 12909(2),6,,,Krishnan,T. N. Krishnan,Live in Concert (2 of 2),,"Los Angeles, 9/30/1989",
AWM SC 12910(1),6,,,Krishnan,"T.N. Krishnan, Guruvayour Dorai",(1 of 2),,"Detroit, 10/8/1989",KKV
AWM SC 12910(2),6,,,Krishnan,"T.N. Krishnan, Guruvayour Dorai",(2 of 2),,"Detroit, 10/8/1989",KKV
AWM SC 12911,6,,,Krishnan,Unnikrishan (Vocal),(1 of 1),,May-92,KKV
AWM SC 12912(1),6,,,Krishnan,T.N. Krishnan,Detroit Concert (1 of 2),,"Detroit, 6/17/1994",KKV
AWM SC 12912(2),6,,,Krishnan,T.N. Krishnan,Detroit Concert (2 of 2),,"Detroit, 6/17/1994",KKV
AWM SC 12913(1),6,,e001,Krishnan,"T.N. Krishnan, Viji Krishnan, Srirma Krishnan",Navaratri Music Festival (1 of 2),,10/18/97,KKV
AWM SC 12913(2),6,,001B,Krishnan,"T.N. Krishnan, Viji Krishnan, Srirma Krishnan",Navaratri Music Festival (2 of 2),,10/18/97,
AWM SC 12914,6,,,Krishnan,"T.N. Krishnan, T.V. Gopalakrishnan ",,y,,H.V. 
AWM SC 12915,6,,,Krishnan,Unni Krishnan,Vocal,y,,KKV
AWM SC 12916,6,,,Krishnan,Unnikrishan,Memorables (1 of 1),y,,KKV
AWM SC 12917,6,,,Krishnan,Unnikrishan,Unnikrishan sings ambujam krishna compositions (1 of 1),y,,KKV
AWM SC 12918,6,,,Krishnan,Vijay Krishnan,Veena,,,
AWM SC 12919(1),6,,,Krishnaswami,Mani Krishnaswami & Party,(1 of 2),y,,KKV
